,abundance,Alphacarmotetravirus,Alphachrysovirus,Alphaendornavirus,Alphanodavirus,Alphapartitivirus,Alphavirus,Ampivirus,Anulavirus,Aparavirus,Arenavirus,Avastrovirus,Bacillarnavirus,Benyvirus,Betapartitivirus,Capillovirus,Cardiovirus,Carlavirus,Chrysovirus,Closterovirus,Coguvirus,Cripavirus,Culicidavirus,Deltaflexivirus,Deltahypovirus,Duamitovirus,Fabavirus,Gammacoronavirus,Gammapartitivirus,Giardiavirus,Gruhelivirus,Hepatovirus,Hypovirus,Iflavirus,Kobuvirus,Kusarnavirus,Labyrnavirus,Ledantevirus,Lentinuvirus,Locarnavirus,Luteovirus,Macanavirus,Maculavirus,Magoulivirus,Marafivirus,Marnavirus,Metaavulavirus,Mitovirus,Mosavirus,Nacovirus,Narnavirus,Ollusvirus,Orthodiscovirus,Orthopicobirnavirus,Orthorubulavirus,Ourmiavirus,Phlebovirus,Picobirnavirus,Potexvirus,Potyvirus,Rotavirus,Salisharnavirus,Sapelovirus,Sclerotimonavirus,Sicinivirus,Sigmavirus,Sobemovirus,Sogarnavirus,Sopolycivirus,Tobamovirus,Tombusvirus,Torchivirus,Totivirus,Tremovirus,Tropivirus,Tupavirus,Tymovirus,Vesiculovirus,Yingvirus,Yuyuevirus
LSDG2,9.77985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4108110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1921519,0,0,0,0,1.794488,0,0,0,1.582858,0,0,0,0,3.1772449,0,1.862668,0,0,1.0685569,0,0,4.1894232,0,0,0,0,0,0,0
LSDG3,90.6355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.899656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890421,3.0260632,0,0,0.9800034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9206450,0,0,0,0,0,0.920645,0,0,0,2.1702617,0,0,0,2.0285713,0,0,0,0,0,0,0,1.8256208,0,0,0,0,0,0,0
LSGG1,99.63212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.137037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1910876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSGG2,0.77183,0,0,0,0,0,0,2.278662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1454140,0,0,0,0,0,0,0,4.0772385,0,0,2.4566393,0,0,0,0,0,0,0,0,0,0,0,0.8115750,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2565013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSGG3,1.68352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.954725,0,1.3948018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSGLB1,99.99874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2997252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4933604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSGY1,99.99665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7810369,0,0,1.4752352,0,0,0,0,0,0,0,0,0,3.2414070,0,0,0,0,0,0,0,1.016616,0,0,0,0,0,0,0,0,0,0,0,0,0.8095597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8286599,0
LSGY2,52.79167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8258803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2444503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3987783,0,0,0,0,0,0,0
LSGY3,99.97924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4517864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QHBA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
