,Sample,bacterium,Relative_abundance,Sort3
470,DYGR13A,Microcystis_aeruginosa,0,Black-headed gull
471,DYGR13A,Clostridium_perfringens,0,Black-headed gull
472,DYGR13A,Others,0,Black-headed gull
473,DYGR13A,Bradyrhizobium_viridifuturi,0,Black-headed gull
474,DYGR13A,Exiguobacterium_undae,0,Black-headed gull
475,DYGR13A,Catellicoccus_marimammalium,100,Black-headed gull
476,DYGR13A,Escherichia_coli,0,Black-headed gull
477,DYGR13A,Saccharomyces_cerevisiae,0,Black-headed gull
478,DYGR61A,Catellicoccus_marimammalium,98.60463,Black-headed gull
479,DYGR61A,Others,0.651619999999994,Black-headed gull
480,DYGR61A,Escherichia_coli,0.08654,Black-headed gull
481,DYGR61A,Bradyrhizobium_viridifuturi,0,Black-headed gull
482,DYGR61A,Exiguobacterium_undae,0,Black-headed gull
483,DYGR61A,Unclassified,0,Black-headed gull
484,DYGR61A,Microcystis_aeruginosa,0,Black-headed gull
485,DYGR61A,Saccharomyces_cerevisiae,0.63562,Black-headed gull
486,DYGR61A,Clostridium_perfringens,0.02159,Black-headed gull
487,DYGR8A,Escherichia_coli,0,Black-headed gull
488,DYGR8A,Saccharomyces_cerevisiae,0,Black-headed gull
489,DYGR8A,Unclassified,0,Black-headed gull
490,DYGR8A,Others,0.010869999999997,Black-headed gull
491,DYGR8A,Bradyrhizobium_viridifuturi,0,Black-headed gull
492,DYGR8A,Exiguobacterium_undae,0,Black-headed gull
493,DYGR8A,Clostridium_perfringens,0.01141,Black-headed gull
494,DYGR8A,Microcystis_aeruginosa,0,Black-headed gull
495,DYGR8A,Catellicoccus_marimammalium,99.97772,Black-headed gull
496,DYS1A,Unclassified,0,Environment control
497,DYS1A,Microcystis_aeruginosa,0,Environment control
498,DYS1A,Bradyrhizobium_viridifuturi,0,Environment control
499,DYS1A,Catellicoccus_marimammalium,96.54361,Environment control
500,DYS1A,Exiguobacterium_undae,0,Environment control
501,DYS1A,Others,3.29789,Environment control
502,DYS1A,Clostridium_perfringens,0,Environment control
503,DYS1A,Saccharomyces_cerevisiae,0,Environment control
504,DYS1A,Escherichia_coli,0.1585,Environment control
505,DYS2A,Saccharomyces_cerevisiae,0,Environment control
506,DYS2A,Unclassified,0,Environment control
507,DYS2A,Microcystis_aeruginosa,0,Environment control
508,DYS2A,Catellicoccus_marimammalium,0,Environment control
509,DYS2A,Escherichia_coli,0,Environment control
510,DYS2A,Others,100,Environment control
511,DYS2A,Clostridium_perfringens,0,Environment control
512,DYS2A,Bradyrhizobium_viridifuturi,0,Environment control
513,DYS2A,Exiguobacterium_undae,0,Environment control
514,DYS2A_2,Saccharomyces_cerevisiae,0,Environment control
515,DYS2A_2,Clostridium_perfringens,0,Environment control
516,DYS2A_2,Others,95.5518,Environment control
517,DYS2A_2,Catellicoccus_marimammalium,4.4482,Environment control
518,DYS2A_2,Escherichia_coli,0,Environment control
519,DYS2A_2,Bradyrhizobium_viridifuturi,0,Environment control
520,DYS2A_2,Exiguobacterium_undae,0,Environment control
521,DYS2A_2,Microcystis_aeruginosa,0,Environment control
522,DYS2A_2,Unclassified,0,Environment control
523,DYT1,Others,0.0806699999999978,Black-headed gull
524,DYT1,Microcystis_aeruginosa,0,Black-headed gull
525,DYT1,Saccharomyces_cerevisiae,0,Black-headed gull
526,DYT1,Catellicoccus_marimammalium,99.91933,Black-headed gull
527,DYT1,Clostridium_perfringens,0,Black-headed gull
528,DYT1,Escherichia_coli,0,Black-headed gull
529,DYT1,Unclassified,0,Black-headed gull
530,DYT1,Exiguobacterium_undae,0,Black-headed gull
531,DYT1,Bradyrhizobium_viridifuturi,0,Black-headed gull
532,DYW1_1452809582A,Saccharomyces_cerevisiae,0,Black-headed gull
533,DYW1_1452809582A,Bradyrhizobium_viridifuturi,2.94754,Black-headed gull
534,DYW1_1452809582A,Catellicoccus_marimammalium,97.05246,Black-headed gull
535,DYW1_1452809582A,Exiguobacterium_undae,0,Black-headed gull
536,DYW1_1452809582A,Clostridium_perfringens,0,Black-headed gull
537,DYW1_1452809582A,Microcystis_aeruginosa,0,Black-headed gull
538,DYW1_1452809582A,Others,0,Black-headed gull
539,DYW1_1452809582A,Escherichia_coli,0,Black-headed gull
540,DYW1_1452809582A,Unclassified,0,Black-headed gull
541,DYW1A,Bradyrhizobium_viridifuturi,0,Environment control
542,DYW1A,Unclassified,0,Environment control
543,DYW1A,Catellicoccus_marimammalium,0,Environment control
544,DYW1A,Saccharomyces_cerevisiae,0,Environment control
545,DYW1A,Microcystis_aeruginosa,0,Environment control
546,DYW1A,Exiguobacterium_undae,0,Environment control
547,DYW1A,Escherichia_coli,0,Environment control
548,DYW1A,Clostridium_perfringens,0,Environment control
549,DYW1A,Others,100,Environment control
550,DYW1RA,Bradyrhizobium_viridifuturi,0,Black-headed gull
551,DYW1RA,Exiguobacterium_undae,0,Black-headed gull
552,DYW1RA,Catellicoccus_marimammalium,0.7992,Black-headed gull
553,DYW1RA,Clostridium_perfringens,0,Black-headed gull
554,DYW1RA,Unclassified,0,Black-headed gull
555,DYW1RA,Microcystis_aeruginosa,0,Black-headed gull
556,DYW1RA,Saccharomyces_cerevisiae,98.07079,Black-headed gull
557,DYW1RA,Others,1.13001,Black-headed gull
558,DYW1RA,Escherichia_coli,0,Black-headed gull
559,DYW2_1452809849A,Microcystis_aeruginosa,0,Black-headed gull
560,DYW2_1452809849A,Bradyrhizobium_viridifuturi,9.02503,Black-headed gull
561,DYW2_1452809849A,Others,0,Black-headed gull
562,DYW2_1452809849A,Unclassified,0,Black-headed gull
563,DYW2_1452809849A,Clostridium_perfringens,0,Black-headed gull
564,DYW2_1452809849A,Saccharomyces_cerevisiae,0,Black-headed gull
565,DYW2_1452809849A,Catellicoccus_marimammalium,90.97497,Black-headed gull
566,DYW2_1452809849A,Exiguobacterium_undae,0,Black-headed gull
567,DYW2_1452809849A,Escherichia_coli,0,Black-headed gull
568,DYW3RA,Catellicoccus_marimammalium,0.04835,Black-headed gull
569,DYW3RA,Microcystis_aeruginosa,0,Black-headed gull
570,DYW3RA,Clostridium_perfringens,0,Black-headed gull
571,DYW3RA,Bradyrhizobium_viridifuturi,0,Black-headed gull
572,DYW3RA,Escherichia_coli,0,Black-headed gull
573,DYW3RA,Saccharomyces_cerevisiae,2.84347,Black-headed gull
574,DYW3RA,Others,97.10818,Black-headed gull
575,DYW3RA,Exiguobacterium_undae,0,Black-headed gull
576,DYW3RA,Unclassified,0,Black-headed gull
577,DYW4_1452810104A,Microcystis_aeruginosa,0,Black-headed gull
578,DYW4_1452810104A,Others,6.16513,Black-headed gull
579,DYW4_1452810104A,Escherichia_coli,0,Black-headed gull
580,DYW4_1452810104A,Catellicoccus_marimammalium,93.80883,Black-headed gull
581,DYW4_1452810104A,Unclassified,0,Black-headed gull
582,DYW4_1452810104A,Exiguobacterium_undae,0,Black-headed gull
583,DYW4_1452810104A,Saccharomyces_cerevisiae,0,Black-headed gull
584,DYW4_1452810104A,Clostridium_perfringens,0,Black-headed gull
585,DYW4_1452810104A,Bradyrhizobium_viridifuturi,0.02604,Black-headed gull
586,DYW5RA,Catellicoccus_marimammalium,97.0938,Black-headed gull
587,DYW5RA,Bradyrhizobium_viridifuturi,0,Black-headed gull
588,DYW5RA,Clostridium_perfringens,0,Black-headed gull
589,DYW5RA,Saccharomyces_cerevisiae,2.9062,Black-headed gull
590,DYW5RA,Exiguobacterium_undae,0,Black-headed gull
591,DYW5RA,Others,0,Black-headed gull
592,DYW5RA,Escherichia_coli,0,Black-headed gull
593,DYW5RA,Unclassified,0,Black-headed gull
594,DYW5RA,Microcystis_aeruginosa,0,Black-headed gull
595,DYWD18A,Escherichia_coli,0,Black-headed gull
596,DYWD18A,Clostridium_perfringens,0,Black-headed gull
597,DYWD18A,Exiguobacterium_undae,0,Black-headed gull
598,DYWD18A,Catellicoccus_marimammalium,99.90065,Black-headed gull
599,DYWD18A,Bradyrhizobium_viridifuturi,0,Black-headed gull
600,DYWD18A,Saccharomyces_cerevisiae,0,Black-headed gull
601,DYWD18A,Microcystis_aeruginosa,0,Black-headed gull
602,DYWD18A,Unclassified,0,Black-headed gull
603,DYWD18A,Others,0.0993500000000012,Black-headed gull
604,DYWR10A,Unclassified,0,Black-headed gull
605,DYWR10A,Saccharomyces_cerevisiae,0,Black-headed gull
606,DYWR10A,Clostridium_perfringens,0,Black-headed gull
607,DYWR10A,Microcystis_aeruginosa,0,Black-headed gull
608,DYWR10A,Escherichia_coli,0,Black-headed gull
609,DYWR10A,Others,0,Black-headed gull
610,DYWR10A,Bradyrhizobium_viridifuturi,0,Black-headed gull
611,DYWR10A,Exiguobacterium_undae,0,Black-headed gull
612,DYWR10A,Catellicoccus_marimammalium,100,Black-headed gull
613,DYWR14A,Catellicoccus_marimammalium,100,Black-headed gull
614,DYWR14A,Exiguobacterium_undae,0,Black-headed gull
615,DYWR14A,Saccharomyces_cerevisiae,0,Black-headed gull
616,DYWR14A,Bradyrhizobium_viridifuturi,0,Black-headed gull
617,DYWR14A,Escherichia_coli,0,Black-headed gull
618,DYWR14A,Microcystis_aeruginosa,0,Black-headed gull
619,DYWR14A,Unclassified,0,Black-headed gull
620,DYWR14A,Clostridium_perfringens,0,Black-headed gull
621,DYWR14A,Others,0,Black-headed gull
622,DYY1_1452809577A,Others,3.47097000000001,Black-headed gull
623,DYY1_1452809577A,Microcystis_aeruginosa,0,Black-headed gull
624,DYY1_1452809577A,Unclassified,0,Black-headed gull
625,DYY1_1452809577A,Clostridium_perfringens,31.38554,Black-headed gull
626,DYY1_1452809577A,Catellicoccus_marimammalium,65.12186,Black-headed gull
627,DYY1_1452809577A,Bradyrhizobium_viridifuturi,0,Black-headed gull
628,DYY1_1452809577A,Saccharomyces_cerevisiae,0,Black-headed gull
629,DYY1_1452809577A,Exiguobacterium_undae,0,Black-headed gull
630,DYY1_1452809577A,Escherichia_coli,0.02163,Black-headed gull
631,DYY10RA,Saccharomyces_cerevisiae,0.59856,Black-headed gull
632,DYY10RA,Unclassified,0,Black-headed gull
633,DYY10RA,Microcystis_aeruginosa,0,Black-headed gull
634,DYY10RA,Escherichia_coli,0,Black-headed gull
635,DYY10RA,Exiguobacterium_undae,0,Black-headed gull
636,DYY10RA,Catellicoccus_marimammalium,92.55754,Black-headed gull
637,DYY10RA,Clostridium_perfringens,0,Black-headed gull
638,DYY10RA,Bradyrhizobium_viridifuturi,0,Black-headed gull
639,DYY10RA,Others,6.84389999999999,Black-headed gull
640,DYY2_1452810918A,Saccharomyces_cerevisiae,0,Black-headed gull
641,DYY2_1452810918A,Bradyrhizobium_viridifuturi,0,Black-headed gull
642,DYY2_1452810918A,Escherichia_coli,0.30858,Black-headed gull
643,DYY2_1452810918A,Catellicoccus_marimammalium,65.15426,Black-headed gull
644,DYY2_1452810918A,Exiguobacterium_undae,0,Black-headed gull
645,DYY2_1452810918A,Clostridium_perfringens,29.65658,Black-headed gull
646,DYY2_1452810918A,Others,4.88058000000001,Black-headed gull
647,DYY2_1452810918A,Unclassified,0,Black-headed gull
648,DYY2_1452810918A,Microcystis_aeruginosa,0,Black-headed gull
649,DYY2RA,Unclassified,0,Black-headed gull
650,DYY2RA,Exiguobacterium_undae,0,Black-headed gull
651,DYY2RA,Bradyrhizobium_viridifuturi,0,Black-headed gull
652,DYY2RA,Microcystis_aeruginosa,0,Black-headed gull
653,DYY2RA,Others,0.00672999999999035,Black-headed gull
654,DYY2RA,Clostridium_perfringens,0,Black-headed gull
655,DYY2RA,Escherichia_coli,0,Black-headed gull
656,DYY2RA,Saccharomyces_cerevisiae,1.24383,Black-headed gull
657,DYY2RA,Catellicoccus_marimammalium,98.74944,Black-headed gull
658,DYYR1A,Catellicoccus_marimammalium,99.70367,Black-headed gull
659,DYYR1A,Unclassified,0,Black-headed gull
660,DYYR1A,Bradyrhizobium_viridifuturi,0,Black-headed gull
661,DYYR1A,Microcystis_aeruginosa,0,Black-headed gull
662,DYYR1A,Exiguobacterium_undae,0,Black-headed gull
663,DYYR1A,Saccharomyces_cerevisiae,0.0486,Black-headed gull
664,DYYR1A,Clostridium_perfringens,0.00319,Black-headed gull
665,DYYR1A,Others,0.00815000000000055,Black-headed gull
666,DYYR1A,Escherichia_coli,0.23639,Black-headed gull
667,DYYR28A,Escherichia_coli,0,Black-headed gull
668,DYYR28A,Saccharomyces_cerevisiae,0.07177,Black-headed gull
669,DYYR28A,Catellicoccus_marimammalium,99.87965,Black-headed gull
670,DYYR28A,Exiguobacterium_undae,0,Black-headed gull
671,DYYR28A,Others,1.00000000031741e-05,Black-headed gull
672,DYYR28A,Bradyrhizobium_viridifuturi,0,Black-headed gull
673,DYYR28A,Microcystis_aeruginosa,0,Black-headed gull
674,DYYR28A,Unclassified,0,Black-headed gull
675,DYYR28A,Clostridium_perfringens,0.04857,Black-headed gull
676,DYYR2A,Catellicoccus_marimammalium,99.92232,Black-headed gull
677,DYYR2A,Escherichia_coli,0.00135,Black-headed gull
678,DYYR2A,Saccharomyces_cerevisiae,0.07262,Black-headed gull
679,DYYR2A,Clostridium_perfringens,0.00371,Black-headed gull
680,DYYR2A,Bradyrhizobium_viridifuturi,0,Black-headed gull
681,DYYR2A,Exiguobacterium_undae,0,Black-headed gull
682,DYYR2A,Others,0,Black-headed gull
683,DYYR2A,Unclassified,0,Black-headed gull
684,DYYR2A,Microcystis_aeruginosa,0,Black-headed gull
685,DYYR36A,Others,-1.00000000031741e-05,Black-headed gull
686,DYYR36A,Catellicoccus_marimammalium,99.92543,Black-headed gull
687,DYYR36A,Microcystis_aeruginosa,0,Black-headed gull
688,DYYR36A,Unclassified,0,Black-headed gull
689,DYYR36A,Bradyrhizobium_viridifuturi,0,Black-headed gull
690,DYYR36A,Clostridium_perfringens,0.00352,Black-headed gull
691,DYYR36A,Escherichia_coli,0,Black-headed gull
692,DYYR36A,Exiguobacterium_undae,0,Black-headed gull
693,DYYR36A,Saccharomyces_cerevisiae,0.07106,Black-headed gull
694,DYYR51A,Escherichia_coli,0.00046,Black-headed gull
695,DYYR51A,Bradyrhizobium_viridifuturi,0,Black-headed gull
696,DYYR51A,Unclassified,0,Black-headed gull
697,DYYR51A,Clostridium_perfringens,1.21653,Black-headed gull
698,DYYR51A,Exiguobacterium_undae,0,Black-headed gull
699,DYYR51A,Microcystis_aeruginosa,0,Black-headed gull
700,DYYR51A,Catellicoccus_marimammalium,98.59296,Black-headed gull
701,DYYR51A,Others,0.00160999999999945,Black-headed gull
702,DYYR51A,Saccharomyces_cerevisiae,0.18844,Black-headed gull
703,DYYR5A,Clostridium_perfringens,1.44439,Black-headed gull
704,DYYR5A,Exiguobacterium_undae,0,Black-headed gull
705,DYYR5A,Microcystis_aeruginosa,0,Black-headed gull
706,DYYR5A,Saccharomyces_cerevisiae,0.25308,Black-headed gull
707,DYYR5A,Bradyrhizobium_viridifuturi,0,Black-headed gull
708,DYYR5A,Unclassified,0,Black-headed gull
709,DYYR5A,Escherichia_coli,0.00224,Black-headed gull
710,DYYR5A,Others,0.00319000000000358,Black-headed gull
711,DYYR5A,Catellicoccus_marimammalium,98.2971,Black-headed gull
712,DYYR6A,Unclassified,0,Black-headed gull
713,DYYR6A,Microcystis_aeruginosa,0,Black-headed gull
714,DYYR6A,Exiguobacterium_undae,0,Black-headed gull
715,DYYR6A,Bradyrhizobium_viridifuturi,0,Black-headed gull
716,DYYR6A,Catellicoccus_marimammalium,93.58855,Black-headed gull
717,DYYR6A,Saccharomyces_cerevisiae,0.1345,Black-headed gull
718,DYYR6A,Clostridium_perfringens,3.03958,Black-headed gull
719,DYYR6A,Escherichia_coli,0.00644,Black-headed gull
720,DYYR6A,Others,3.23093,Black-headed gull
721,DYYR91B,Unclassified,0,Black-headed gull
722,DYYR91B,Catellicoccus_marimammalium,98.92662,Black-headed gull
723,DYYR91B,Microcystis_aeruginosa,0,Black-headed gull
724,DYYR91B,Clostridium_perfringens,0.0513,Black-headed gull
725,DYYR91B,Bradyrhizobium_viridifuturi,0,Black-headed gull
726,DYYR91B,Saccharomyces_cerevisiae,0.77432,Black-headed gull
727,DYYR91B,Exiguobacterium_undae,0,Black-headed gull
728,DYYR91B,Escherichia_coli,0.19978,Black-headed gull
729,DYYR91B,Others,0.0479799999999955,Black-headed gull
730,DYYR9A,Microcystis_aeruginosa,0,Black-headed gull
731,DYYR9A,Unclassified,0,Black-headed gull
732,DYYR9A,Exiguobacterium_undae,0,Black-headed gull
733,DYYR9A,Others,0.0291600000000045,Black-headed gull
734,DYYR9A,Escherichia_coli,0.02967,Black-headed gull
735,DYYR9A,Saccharomyces_cerevisiae,0.13964,Black-headed gull
736,DYYR9A,Catellicoccus_marimammalium,99.75886,Black-headed gull
737,DYYR9A,Bradyrhizobium_viridifuturi,0,Black-headed gull
738,DYYR9A,Clostridium_perfringens,0.04267,Black-headed gull
739,FAQHA,Unclassified,0,Other birds
740,FAQHA,Others,0,Other birds
741,FAQHA,Microcystis_aeruginosa,0,Other birds
742,FAQHA,Catellicoccus_marimammalium,100,Other birds
743,FAQHA,Exiguobacterium_undae,0,Other birds
744,FAQHA,Bradyrhizobium_viridifuturi,0,Other birds
745,FAQHA,Clostridium_perfringens,0,Other birds
746,FAQHA,Saccharomyces_cerevisiae,0,Other birds
747,FAQHA,Escherichia_coli,0,Other birds
748,FAQHYA,Saccharomyces_cerevisiae,0,Other birds
749,FAQHYA,Clostridium_perfringens,0,Other birds
750,FAQHYA,Others,95.23673,Other birds
751,FAQHYA,Catellicoccus_marimammalium,0,Other birds
752,FAQHYA,Unclassified,0,Other birds
753,FAQHYA,Bradyrhizobium_viridifuturi,0,Other birds
754,FAQHYA,Escherichia_coli,4.76327,Other birds
755,FAQHYA,Microcystis_aeruginosa,0,Other birds
756,FAQHYA,Exiguobacterium_undae,0,Other birds
757,HYBA,Exiguobacterium_undae,0,Environment control
758,HYBA,Unclassified,0,Environment control
759,HYBA,Saccharomyces_cerevisiae,0,Environment control
760,HYBA,Catellicoccus_marimammalium,0,Environment control
761,HYBA,Microcystis_aeruginosa,0,Environment control
762,HYBA,Others,100,Environment control
763,HYBA,Clostridium_perfringens,0,Environment control
764,HYBA,Escherichia_coli,0,Environment control
765,HYBA,Bradyrhizobium_viridifuturi,0,Environment control
766,HYG1,Others,4.13852,Black-headed gull
767,HYG1,Microcystis_aeruginosa,0,Black-headed gull
768,HYG1,Saccharomyces_cerevisiae,0.00505,Black-headed gull
769,HYG1,Unclassified,0,Black-headed gull
770,HYG1,Clostridium_perfringens,0,Black-headed gull
771,HYG1,Escherichia_coli,1.0504,Black-headed gull
772,HYG1,Bradyrhizobium_viridifuturi,0,Black-headed gull
773,HYG1,Exiguobacterium_undae,0,Black-headed gull
774,HYG1,Catellicoccus_marimammalium,94.80603,Black-headed gull
775,HYG2,Saccharomyces_cerevisiae,0,Black-headed gull
776,HYG2,Bradyrhizobium_viridifuturi,0,Black-headed gull
777,HYG2,Catellicoccus_marimammalium,98.44877,Black-headed gull
778,HYG2,Others,1.55123,Black-headed gull
779,HYG2,Clostridium_perfringens,0,Black-headed gull
780,HYG2,Microcystis_aeruginosa,0,Black-headed gull
781,HYG2,Exiguobacterium_undae,0,Black-headed gull
782,HYG2,Unclassified,0,Black-headed gull
783,HYG2,Escherichia_coli,0,Black-headed gull
784,HYG3,Catellicoccus_marimammalium,99.99979,Black-headed gull
785,HYG3,Bradyrhizobium_viridifuturi,0,Black-headed gull
786,HYG3,Microcystis_aeruginosa,0,Black-headed gull
787,HYG3,Saccharomyces_cerevisiae,0.00021,Black-headed gull
788,HYG3,Clostridium_perfringens,0,Black-headed gull
789,HYG3,Others,0,Black-headed gull
790,HYG3,Exiguobacterium_undae,0,Black-headed gull
791,HYG3,Escherichia_coli,0,Black-headed gull
792,HYG3,Unclassified,0,Black-headed gull
793,HYHNGS,Clostridium_perfringens,0,Environment control
794,HYHNGS,Exiguobacterium_undae,0,Environment control
795,HYHNGS,Microcystis_aeruginosa,0,Environment control
796,HYHNGS,Escherichia_coli,0,Environment control
797,HYHNGS,Unclassified,100,Environment control
798,HYHNGS,Others,0,Environment control
799,HYHNGS,Catellicoccus_marimammalium,0,Environment control
800,HYHNGS,Saccharomyces_cerevisiae,0,Environment control
801,HYHNGS,Bradyrhizobium_viridifuturi,0,Environment control
802,HYLY1,Clostridium_perfringens,0,Black-headed gull
803,HYLY1,Bradyrhizobium_viridifuturi,0,Black-headed gull
804,HYLY1,Catellicoccus_marimammalium,99.10338,Black-headed gull
805,HYLY1,Unclassified,0,Black-headed gull
806,HYLY1,Others,0.895690000000002,Black-headed gull
807,HYLY1,Microcystis_aeruginosa,0,Black-headed gull
808,HYLY1,Exiguobacterium_undae,0,Black-headed gull
809,HYLY1,Escherichia_coli,0,Black-headed gull
810,HYLY1,Saccharomyces_cerevisiae,0.00093,Black-headed gull
811,HYLY2,Saccharomyces_cerevisiae,0,Black-headed gull
812,HYLY2,Exiguobacterium_undae,0,Black-headed gull
813,HYLY2,Microcystis_aeruginosa,0,Black-headed gull
814,HYLY2,Escherichia_coli,0,Black-headed gull
815,HYLY2,Catellicoccus_marimammalium,99.76277,Black-headed gull
816,HYLY2,Others,0.237229999999997,Black-headed gull
817,HYLY2,Unclassified,0,Black-headed gull
818,HYLY2,Bradyrhizobium_viridifuturi,0,Black-headed gull
819,HYLY2,Clostridium_perfringens,0,Black-headed gull
820,HYLY3,Others,0,Black-headed gull
821,HYLY3,Bradyrhizobium_viridifuturi,0,Black-headed gull
822,HYLY3,Exiguobacterium_undae,0,Black-headed gull
823,HYLY3,Escherichia_coli,0,Black-headed gull
824,HYLY3,Unclassified,0,Black-headed gull
825,HYLY3,Saccharomyces_cerevisiae,0,Black-headed gull
826,HYLY3,Catellicoccus_marimammalium,100,Black-headed gull
827,HYLY3,Microcystis_aeruginosa,0,Black-headed gull
828,HYLY3,Clostridium_perfringens,0,Black-headed gull
829,HYSZGW,Catellicoccus_marimammalium,0,Environment control
830,HYSZGW,Escherichia_coli,0,Environment control
831,HYSZGW,Others,100,Environment control
832,HYSZGW,Bradyrhizobium_viridifuturi,0,Environment control
833,HYSZGW,Exiguobacterium_undae,0,Environment control
834,HYSZGW,Saccharomyces_cerevisiae,0,Environment control
835,HYSZGW,Microcystis_aeruginosa,0,Environment control
836,HYSZGW,Unclassified,0,Environment control
837,HYSZGW,Clostridium_perfringens,0,Environment control
838,HYT1,Escherichia_coli,0,Black-headed gull
839,HYT1,Clostridium_perfringens,0.00136,Black-headed gull
840,HYT1,Saccharomyces_cerevisiae,0,Black-headed gull
841,HYT1,Catellicoccus_marimammalium,99.97229,Black-headed gull
842,HYT1,Bradyrhizobium_viridifuturi,0,Black-headed gull
843,HYT1,Microcystis_aeruginosa,0,Black-headed gull
844,HYT1,Exiguobacterium_undae,0,Black-headed gull
845,HYT1,Others,0.0263499999999937,Black-headed gull
846,HYT1,Unclassified,0,Black-headed gull
847,HYTS1A,Unclassified,0,Environment control
848,HYTS1A,Exiguobacterium_undae,0,Environment control
849,HYTS1A,Others,9.99999998896328e-06,Environment control
850,HYTS1A,Microcystis_aeruginosa,0,Environment control
851,HYTS1A,Saccharomyces_cerevisiae,0,Environment control
852,HYTS1A,Clostridium_perfringens,0,Environment control
853,HYTS1A,Escherichia_coli,0.47011,Environment control
854,HYTS1A,Catellicoccus_marimammalium,5.23549,Environment control
855,HYTS1A,Bradyrhizobium_viridifuturi,94.29439,Environment control
856,HYTS2A,Escherichia_coli,0,Environment control
857,HYTS2A,Saccharomyces_cerevisiae,0,Environment control
858,HYTS2A,Unclassified,0,Environment control
859,HYTS2A,Bradyrhizobium_viridifuturi,0,Environment control
860,HYTS2A,Exiguobacterium_undae,0,Environment control
861,HYTS2A,Catellicoccus_marimammalium,19.82255,Environment control
862,HYTS2A,Clostridium_perfringens,0,Environment control
863,HYTS2A,Microcystis_aeruginosa,0,Environment control
864,HYTS2A,Others,80.17745,Environment control
865,HYTS5A,Escherichia_coli,0,Environment control
866,HYTS5A,Unclassified,0,Environment control
867,HYTS5A,Microcystis_aeruginosa,0,Environment control
868,HYTS5A,Catellicoccus_marimammalium,42.18256,Environment control
869,HYTS5A,Saccharomyces_cerevisiae,0,Environment control
870,HYTS5A,Clostridium_perfringens,0,Environment control
871,HYTS5A,Bradyrhizobium_viridifuturi,57.81744,Environment control
872,HYTS5A,Exiguobacterium_undae,0,Environment control
873,HYTS5A,Others,0,Environment control
874,HYY1,Unclassified,0,Black-headed gull
875,HYY1,Microcystis_aeruginosa,0,Black-headed gull
876,HYY1,Bradyrhizobium_viridifuturi,0,Black-headed gull
877,HYY1,Clostridium_perfringens,0,Black-headed gull
878,HYY1,Exiguobacterium_undae,0,Black-headed gull
879,HYY1,Catellicoccus_marimammalium,99.96905,Black-headed gull
880,HYY1,Others,0.0283100000000047,Black-headed gull
881,HYY1,Saccharomyces_cerevisiae,0.00264,Black-headed gull
882,HYY1,Escherichia_coli,0,Black-headed gull
883,HYY2,Escherichia_coli,0.00244,Black-headed gull
884,HYY2,Saccharomyces_cerevisiae,0,Black-headed gull
885,HYY2,Microcystis_aeruginosa,0,Black-headed gull
886,HYY2,Catellicoccus_marimammalium,99.99195,Black-headed gull
887,HYY2,Unclassified,0,Black-headed gull
888,HYY2,Bradyrhizobium_viridifuturi,0,Black-headed gull
889,HYY2,Clostridium_perfringens,0,Black-headed gull
890,HYY2,Others,0.00560999999999012,Black-headed gull
891,HYY2,Exiguobacterium_undae,0,Black-headed gull
892,HYY3,Exiguobacterium_undae,0,Black-headed gull
893,HYY3,Saccharomyces_cerevisiae,13.88177,Black-headed gull
894,HYY3,Unclassified,0,Black-headed gull
895,HYY3,Others,73.91781,Black-headed gull
896,HYY3,Bradyrhizobium_viridifuturi,0,Black-headed gull
897,HYY3,Escherichia_coli,0,Black-headed gull
898,HYY3,Clostridium_perfringens,0.03799,Black-headed gull
899,HYY3,Catellicoccus_marimammalium,12.16243,Black-headed gull
900,HYY3,Microcystis_aeruginosa,0,Black-headed gull
901,HYYLWS,Bradyrhizobium_viridifuturi,0,Environment control
902,HYYLWS,Exiguobacterium_undae,0,Environment control
903,HYYLWS,Saccharomyces_cerevisiae,0,Environment control
904,HYYLWS,Unclassified,0,Environment control
905,HYYLWS,Others,0,Environment control
906,HYYLWS,Clostridium_perfringens,0,Environment control
907,HYYLWS,Escherichia_coli,100,Environment control
908,HYYLWS,Catellicoccus_marimammalium,0,Environment control
909,HYYLWS,Microcystis_aeruginosa,0,Environment control
910,HYYLWW,Escherichia_coli,0,Environment control
911,HYYLWW,Exiguobacterium_undae,0,Environment control
912,HYYLWW,Catellicoccus_marimammalium,0,Environment control
913,HYYLWW,Bradyrhizobium_viridifuturi,0,Environment control
914,HYYLWW,Others,100,Environment control
915,HYYLWW,Clostridium_perfringens,0,Environment control
916,HYYLWW,Saccharomyces_cerevisiae,0,Environment control
917,HYYLWW,Unclassified,0,Environment control
918,HYYLWW,Microcystis_aeruginosa,0,Environment control
919,JR.1A,Catellicoccus_marimammalium,0,NA
920,JR.1A,Escherichia_coli,0,NA
921,JR.1A,Saccharomyces_cerevisiae,0,NA
922,JR.1A,Exiguobacterium_undae,0,NA
923,JR.1A,Clostridium_perfringens,0,NA
924,JR.1A,Microcystis_aeruginosa,0,NA
925,JR.1A,Unclassified,100,NA
926,JR.1A,Others,0,NA
927,JR.1A,Bradyrhizobium_viridifuturi,0,NA
928,JR.3A,Bradyrhizobium_viridifuturi,0,NA
929,JR.3A,Catellicoccus_marimammalium,0,NA
930,JR.3A,Escherichia_coli,0,NA
931,JR.3A,Saccharomyces_cerevisiae,0,NA
932,JR.3A,Exiguobacterium_undae,0,NA
933,JR.3A,Clostridium_perfringens,0,NA
934,JR.3A,Microcystis_aeruginosa,0,NA
